observation,measure1,measure2,measure3,measure4
112,1,10.1690876,0.018299212,57.03940913
113,3,3.486138074,-1.150061331,74.07870844
114,5,6.747237757,-0.429396347,93.49190741
115,2,21.78964687,0.850002977,60.22160965
116,2,8.213168828,-0.214829492,61.30264943
117,1,5.679449746,-0.617414016,59.8271505
118,2,11.05466367,0.109427384,60.38137214
119,3,5.234208051,-0.706511064,77.36290317
120,5,41.11609017,1.542975817,95.17663819
121,3,13.79107244,0.35080172,80.58201709
122,3,29.28415126,1.172620574,76.88119272
123,7,9.698829773,-0.033373531,98.66009674
124,6,13.92621279,0.361443996,96.61920377
125,1,26.0661193,1.045575639,56.35166377
126,4,10.99188916,0.103212392,88.72129857
127,1,13.5529778,0.331795558,54.65321922
128,7,2.37578804,-1.568558815,98.93777743
129,5,14.96928391,0.440269944,94.52162609
130,3,56.08825006,1.881871322,75.49620738
131,2,34.42416057,1.349106265,64.58447049
132,2,2.235296549,-1.635082772,65.57466427
133,3,5.191117968,-0.715532732,72.4931499
134,2,4.318075596,-0.916494323,68.37827291
135,4,1.149351633,-2.361026945,87.70925194
136,0,40.57246617,1.528450001,50.94275054
137,4,5.615422873,-0.629787224,87.98286105
138,7,3.758057768,-1.068092021,98.73499515
139,4,31.28812437,1.244859824,89.42863186
140,3,15.24063694,0.459876146,81.71275496
141,2,11.66102855,0.167705828,66.08620249
142,2,7.772581683,-0.275003023,68.75586562
143,1,15.70055002,0.492322618,59.40991732
144,3,34.1304446,1.339754571,79.93554525
145,1,6.460771764,-0.476744224,52.57264033
146,1,2.537261159,-1.496795537,55.18283072
147,4,3.325870498,-1.201423971,85.65102685
148,4,6.884223396,-0.407461028,82.78065514
149,2,4.196170389,-0.947748095,68.61265479
150,5,21.82288349,0.851666398,95.25686556
151,3,5.832298712,-0.588431009,79.76839979
152,5,2.869574083,-1.362473104,92.22241117
153,5,6.623248859,-0.449637942,93.06157731
154,2,5.546196231,-0.643325032,63.45357543
155,7,6.262588998,-0.510745552,98.5871845
156,8,12.65758844,0.257202011,99.76762052
157,4,6.808353571,-0.419555448,89.59350868
158,2,4.178982174,-0.952227655,69.07600374
159,4,15.9919652,0.512393405,84.4830344
160,3,2.022488693,-1.744267685,74.64400904
161,3,6.338987664,-0.497512412,73.1049365
162,4,20.16773901,0.765585781,83.73465372
163,5,15.83158371,0.501393067,93.6301318
164,7,13.55441362,0.331911171,98.66382271
165,4,9.199353799,-0.091075734,84.61384439
166,2,5.478730604,-0.656682033,64.43997718
167,2,3.451851323,-1.160848139,65.15659295
168,1,45.59965619,1.655931934,55.58136622
169,0,5.033373383,-0.749210548,50.33930552
170,1,17.68019583,0.621920555,57.17936684
171,1,2.596030786,-1.471805169,59.57267272
172,3,20.77944324,0.798195457,79.6096713
173,5,12.91841742,0.279462509,91.62495562
174,5,18.27235349,0.657874259,94.28428147
175,5,17.22929307,0.593726323,90.93993135
176,5,5.888706623,-0.577926514,92.41666893
177,7,15.4683649,0.476062734,98.64679381
178,4,3.368162743,-1.187633619,89.73173209
179,2,19.30175448,0.717688045,69.04901951
180,1,11.31361571,0.134697245,55.4520594
181,1,36.80464752,1.42208034,57.28898341
182,1,10.38026546,0.040730913,59.2026478
183,4,7.333870226,-0.338409751,83.10344396
184,3,5.996578974,-0.558115388,75.80767926
185,4,25.64531905,1.027813483,87.92168056
186,3,8.133477616,-0.225470479,77.64924626
187,3,3.23508076,-1.231630051,79.87261766
188,1,4.99187936,-0.758244741,56.70666078
189,4,27.03778445,1.085518149,83.93909289
190,2,3.824032553,-1.049098885,68.74759569
191,2,13.04853036,0.290399553,67.31243472
192,3,6.635789897,-0.447573426,74.34236152
193,4,8.182886827,-0.218860766,88.10494381
194,2,2.296834985,-1.605443512,63.90144881
195,5,10.7098085,0.074839686,94.09968781
196,2,6.198800626,-0.521918699,70.80473948
197,0,9.422643295,-0.064902369,51.39963485
198,3,26.20487994,1.051369968,75.30314537
199,5,2.026401627,-1.742158263,93.37799581
200,1,48.91591451,1.732548028,57.97214606
201,2,44.67315269,1.633529147,65.97137646
202,5,7.081349278,-0.376649698,93.20883012
203,1,8.587112689,-0.166238218,56.27418557
204,6,9.709689039,-0.03215228,96.94953631
205,5,16.00310641,0.513153462,93.26014942
206,2,31.96527173,1.268227345,65.18025539
207,2,3.785045571,-1.060282651,69.30975332
208,3,17.64365469,0.619662623,77.42296391
209,2,4.71886059,-0.8196282,69.53819436
210,5,6.395988734,-0.487742639,90.86349591
211,1,9.199271988,-0.091085439,59.52870511
212,2,13.25978896,0.307927349,69.19249488
213,3,7.092815583,-0.374883974,75.06540939
214,2,4.858255,-0.787856679,64.19879401
215,3,3.940559068,-1.016339522,80.23615641
216,5,0.902401859,-2.625018837,92.26794729
217,3,8.101036864,-0.229832109,72.53240395
218,7,7.837559374,-0.265917359,99.02342468
219,3,13.95652312,0.363816746,72.43540674
220,6,11.11824377,0.115686261,97.7202801
221,3,20.01532294,0.757306617,80.87864125
222,2,40.08700555,1.515312869,69.27766454
223,3,0.874108997,-2.659783853,75.364996
224,6,5.322867174,-0.68818004,96.47738094
225,1,6.764680497,-0.426578648,56.2529651
226,5,6.766994172,-0.426205443,94.74561153
227,2,11.45554635,0.148303276,66.69087011
228,4,101.3716491,2.527809443,89.17168881
229,4,8.768703145,-0.143400088,90.11691401
230,3,25.76908196,1.033067643,80.6291009
231,2,7.204290909,-0.357864893,70.74750643
232,3,20.02293905,0.757721814,79.1321022
233,2,82.17915828,2.298742697,63.42404216
234,2,9.3309881,-0.075570095,66.08731733
235,3,137.5958191,2.861248463,77.178412
236,3,2.750338088,-1.40879003,76.59064704
237,2,10.72550236,0.076437759,61.99675918
238,4,1.96955973,-1.773209098,85.84900098
239,6,8.245603563,-0.210528088,96.92908376
240,2,7.5702591,-0.30378764,69.29300531
241,3,5.708626151,-0.611821863,81.85657237
242,2,8.792672264,-0.140420951,60.6419635
243,5,11.17616954,0.121357441,93.9763002
244,4,19.58714066,0.733706176,88.20782296
245,3,76.88714454,2.226098691,74.33441791
246,4,16.96401353,0.576791991,87.74902979
247,3,11.62692597,0.164509489,82.05581087
248,1,20.71663918,0.794891931,58.247776
249,5,25.87623598,1.037596357,92.60607478
250,3,2.641933143,-1.452676696,79.67250675
251,3,15.72704401,0.494162682,77.05513992
252,1,4.670717025,-0.830819813,55.69958814
253,3,20.96671914,0.807987311,81.49890933
254,1,12.11525812,0.209410136,54.03224836
255,1,7.754334104,-0.277568197,52.91876921
256,5,2.604494628,-1.468252805,95.37796809
257,4,15.77265309,0.497323081,83.50645989
258,2,11.43597977,0.146437596,62.65469685
259,7,18.00176203,0.641591724,98.50366275
260,2,10.65242223,0.068976156,67.29335114
261,5,10.17124545,0.01853077,95.56742926
262,1,7.805270585,-0.270422763,54.00996621
263,1,8.082326446,-0.232355657,52.55079268
264,2,4.195592431,-0.947898423,64.76580814
265,2,12.85085343,0.273739679,61.8569979
266,5,9.38133752,-0.069697035,91.21730751
267,1,6.653510455,-0.444662895,58.98519217
268,2,10.36162696,0.038769544,68.36059286
269,0,7.495875737,-0.314564052,50.45561008
270,2,55.62661979,1.872851822,60.60739624
271,6,2.799805193,-1.389335511,96.83997877
272,4,18.94293897,0.697209012,82.95840967
273,2,3.448432498,-1.161929589,63.22084508
274,6,4.273804526,-0.92774121,97.42904347
275,1,13.08974332,0.293841101,57.13697512
276,4,12.07162857,0.205472841,84.44235609
277,5,14.37977672,0.396421921,94.67041803
278,1,8.518862183,-0.174946992,59.1197665
279,4,4.522379206,-0.866042662,83.85987185
280,3,5.023523114,-0.751348416,80.20442544
281,3,2.185227647,-1.65980625,78.32963221
282,3,1.046717113,-2.46311166,72.98659454
283,2,24.93958331,0.997359361,69.58284811
284,1,30.06230788,1.201242167,53.25848885
285,4,1.474733569,-2.088974257,84.43771758
286,3,25.06351523,1.002769194,73.14873012
287,5,8.317676892,-0.201030187,95.49187144
288,1,14.47541781,0.403656593,53.41963049
289,2,13.02422848,0.28836509,65.83860699
290,1,10.01495063,0.001630429,53.19158627
291,1,5.400813739,-0.672314405,53.36116169
292,4,22.41435453,0.880851961,87.014098
293,1,5.709539719,-0.611647224,55.73966982
294,1,3.895573597,-1.028870125,57.73028367
295,2,60.59891247,1.966288418,67.09173509
296,3,3.118657482,-1.271629667,79.13305332
297,1,10.89002335,0.09305124,58.58144263
298,7,13.24927313,0.307061493,98.86659537
299,4,10.08772903,0.009532613,90.14001816
300,4,5.287918597,-0.695369234,83.40376972
301,2,9.561060336,-0.048987136,63.90607568
302,4,22.61384118,0.890522014,89.08761459
303,1,131.3357952,2.810431431,54.3262155
304,4,13.50085068,0.327589916,87.77915624
305,2,3.84156262,-1.044107338,66.32428824
306,2,4.848905068,-0.789959068,63.40004496
307,2,11.99101842,0.198160699,63.0003306
308,2,8.677495756,-0.15481125,63.69303161
309,2,4.320187845,-0.915960601,65.2382307
310,5,4.083545981,-0.97744017,92.46575931
311,3,41.63866406,1.556759244,80.0744294
312,1,9.458635872,-0.060741551,59.55815153
313,2,9.027001996,-0.111716491,66.87025605
314,4,3.490596226,-1.148666571,83.01523248
315,1,39.75401371,1.506209404,58.52453851
316,4,25.60460381,1.026079438,84.46267868
317,4,3.967663401,-1.008858546,84.79060717
318,3,15.92789841,0.508012446,75.52799586
319,0,8.470851161,-0.181115112,52.02781046
320,3,3.309479481,-1.206815843,80.5891942
321,2,17.53769155,0.613088461,65.47069385
322,3,45.22719897,1.646981146,74.68126764
323,4,14.64172626,0.416123736,88.90192974
324,4,11.16345191,0.120114853,84.5021124
325,4,7.277227903,-0.34687144,84.59763692
326,4,2.189309716,-1.657769466,89.62876149
327,3,26.83107608,1.077142487,81.50109152
328,6,5.065745045,-0.742214066,97.63795
329,3,11.70169461,0.171505147,73.18581027
330,4,17.73362688,0.625213753,87.91681576
331,2,3.521313982,-1.139104485,62.78463461
332,3,6.220364005,-0.518128853,78.12420635
333,1,64.76415561,2.038836734,56.14259165
334,4,4.529619189,-0.864296881,83.3188695
335,6,4.755775577,-0.81112389,97.5566098
336,4,19.5179749,0.729845577,83.0327351
337,2,2.817463045,-1.382474141,61.34325763
338,5,1.531453291,-2.047786668,92.72257232
339,4,12.47613664,0.241443737,86.6501475
340,0,5.517053513,-0.64907473,50.34854417
341,1,2.173989071,-1.665433556,53.52683747
342,1,10.76665939,0.080617614,57.57984946
343,4,3.766122947,-1.065752367,89.38107322
344,2,15.50184061,0.478422031,66.20185243
345,3,35.05660389,1.368974794,80.50275251
346,2,1.798397237,-1.872428902,69.09485953
347,4,15.88080876,0.504781152,87.23452667
348,3,20.36073111,0.7759797,75.53717109
349,4,21.62655827,0.841803795,86.18262047
350,4,16.32443326,0.534849747,87.12158742
351,2,5.380480114,-0.676431029,64.08284322
352,4,2.64972077,-1.449464435,88.36396429
353,4,17.25823163,0.595557844,84.14925799
354,1,20.41186059,0.778716859,54.73096601
355,1,8.535367177,-0.172834573,55.87444461
356,2,18.25913999,0.657084768,67.20679279
357,4,14.90073705,0.435260962,88.17625842
358,5,5.587081752,-0.635309264,92.76447888
359,3,61.60209165,1.984207271,77.67871873
360,4,18.32218465,0.660846484,89.46046599
361,6,9.472318228,-0.059163993,96.12492658
362,3,11.4193683,0.144851181,74.63477508
363,3,10.57136738,0.06064021,75.81223986
364,0,3.27845063,-1.2170964,50.72390242
365,2,23.47493161,0.93130705,68.3763606
366,3,1.833583041,-1.851282607,78.56635511
367,2,13.78283924,0.350149991,64.41913991
368,4,10.81601517,0.085609104,88.39467432
369,5,14.00551632,0.367641154,92.39906067
370,5,22.40018786,0.880161967,94.46155883
371,2,4.938060669,-0.770074815,70.5403322
372,3,0.535127056,-3.195313521,72.98574684
373,1,4.233841759,-0.937994094,55.45218261
374,3,22.86762656,0.902701622,81.57918975
375,2,17.09680145,0.58530146,61.20761195
376,3,10.59773969,0.06335942,73.05868652
377,5,50.62116089,1.769945432,93.0576942
378,5,6.710562666,-0.435344675,94.94473222
379,1,16.24818029,0.529739972,57.35331539
380,2,10.9767329,0.101706528,63.66045688
381,3,2.455486004,-1.532548936,80.71223552
382,0,9.061627467,-0.10753831,50.6540374
383,2,20.10771349,0.762332718,66.36152681
384,6,8.071684762,-0.233793551,97.41470171
385,2,19.17814856,0.710676666,70.66896291
386,2,9.899468289,-0.011027117,68.32232561
387,1,11.7446612,0.17550508,52.70990592
388,1,3.880375013,-1.033136382,59.82468347
389,3,65.57805911,2.052466555,76.49144309
390,4,3.103132527,-1.277076105,89.26446654
391,2,7.591169401,-0.300777289,65.0431737
392,2,21.14095319,0.817019042,62.64725546
393,3,6.475691173,-0.474226936,73.70629311
394,4,9.881684879,-0.012989394,84.06718174
395,5,8.511721771,-0.175862139,92.67278258
396,1,8.162552422,-0.221576154,53.43969694
397,0,5.828953207,-0.589057209,52.03701888
398,5,10.33793737,0.03627154,94.85452338
399,6,4.93594257,-0.770543035,97.92059902
400,5,1.631241161,-1.978895842,93.78122732
401,6,8.997157517,-0.11533064,97.44105627
402,2,11.25714632,0.129236342,64.26774724
403,2,12.77359761,0.267158941,67.66084861
404,5,2.790522203,-1.392960008,91.83028731
405,3,5.821820381,-0.590393508,71.69923724
406,1,69.95688711,2.123009644,54.37181471
407,3,10.69426982,0.073255105,74.35876511
408,4,7.013532089,-0.387151853,84.17826334
409,4,2.957469315,-1.329546517,84.80390055
410,2,13.71680835,0.34490895,61.32373193
411,5,3.963370263,-1.010040068,94.88208033
412,5,9.901161663,-0.010840449,91.10202318
413,1,4.526257041,-0.86510725,57.22540091
414,3,9.610027896,-0.04341195,71.23755713
415,4,7.534340518,-0.30897812,86.61300183
416,2,38.44552443,1.469683311,65.42679997
417,2,15.32538606,0.465928079,60.31070222
418,4,14.82292261,0.429546759,88.98527356
419,2,36.20711731,1.404216558,65.64330381
420,3,6.060922729,-0.546467427,73.81235951
421,3,2.690601199,-1.432755331,73.18561764
422,2,14.0594363,0.371834712,61.03224048
423,3,22.21126878,0.870918631,81.04655937
424,6,25.84766759,1.03639079,96.15382571
425,2,9.056138853,-0.108199544,67.69366884
426,6,1.645346387,-1.969499525,96.98722815
427,2,2.785729657,-1.394835955,60.76951355
428,5,4.113204167,-0.969542455,94.58549626
429,1,7.998963957,-0.243670548,57.73669335
430,1,27.91997199,1.120558297,55.06164294
431,0,8.021603366,-0.240586052,50.21661037
432,2,6.159214135,-0.52891062,60.31082064
433,2,1.711520707,-1.926465863,70.45555587
434,3,6.423399204,-0.483075545,77.59851314
435,2,35.61285159,1.386155546,69.75757128
436,5,7.11389,-0.371646106,93.35274578
437,3,6.141816828,-0.531997626,82.1001287
438,3,43.21495849,1.597311369,77.25553086
439,3,2.208733159,-1.648129704,77.30247028
440,1,16.36977271,0.537876677,58.35876759
441,4,13.75157859,0.34767189,88.77834548
442,1,3.05161058,-1.295348236,53.60456929
443,6,2.838434623,-1.374380792,96.75767046
444,2,10.92778342,0.096828865,64.66040183
445,0,8.108875812,-0.228776571,50.19547713
446,4,6.058498836,-0.546903972,83.065951
447,2,6.702403458,-0.436672436,62.28348502
448,4,9.150997099,-0.096827616,88.53209931
449,2,6.154941263,-0.529667997,66.74215614
450,4,6.214736423,-0.519116654,82.75837186
451,2,36.43086162,1.410939917,66.74895397
452,3,8.472966904,-0.18084256,75.03120751
453,3,5.661081247,-0.620949406,77.94741398
454,5,2.580108189,-1.478519551,94.28127664
455,8,4.984172,-0.759931076,99.71305855
456,1,8.720949193,-0.149359809,53.99444272
457,3,14.03883841,0.370234639,72.14935537
458,0,4.693923749,-0.825410772,50.12201844
459,5,2.629560147,-1.457799865,92.46069415
460,2,2.011963521,-1.749962011,63.01529054
461,2,18.51457292,0.6722463,68.01111052
462,5,22.33885303,0.877169582,94.29865299
463,4,7.299250838,-0.343573676,88.78456167
464,4,74.10673206,2.185901501,85.93327082
465,8,26.58033427,1.066895585,99.4620114
466,1,7.522494627,-0.310695359,57.27752575
467,3,6.492325631,-0.471427104,73.49402829
468,4,8.299358431,-0.20343639,89.28339478
469,9,13.23228007,0.305660858,99.89450579
470,3,20.10301286,0.762077559,78.11791474
471,1,68.75432488,2.104086053,53.97243144
472,5,3.359348964,-1.190493214,94.04306434
473,3,28.90294392,1.158320526,76.52322947
474,2,7.226962614,-0.354435817,69.89127842
475,0,38.75720712,1.478495404,51.9048518
476,1,4.034985063,-0.990496205,57.286423
477,2,4.913511133,-0.775514019,70.83138856
478,1,33.96091402,1.334320146,57.17553608
479,2,7.21338843,-0.356487606,69.03224188
480,5,2.609913434,-1.465984531,92.98943992
481,2,9.793421446,-0.022781212,63.51639049
482,4,17.39542564,0.604199263,84.63646241
483,3,4.621557624,-0.842367242,72.20818519
484,0,8.339615365,-0.198155444,52.39487103
485,3,6.908650351,-0.403595474,77.41480191
486,3,28.3866893,1.138650888,71.86752802
487,4,8.553591846,-0.170506799,88.4218041
488,2,3.479929916,-1.152006565,60.20795528
489,7,13.28993916,0.310406067,99.3498106
490,2,2.742126897,-1.412053171,70.59134605
491,4,13.41924222,0.320972984,85.89800039
492,2,5.079011014,-0.7393598,66.08619062
493,3,13.16865637,0.30040072,78.26674833
494,1,4.300413239,-0.920967487,52.94667565
495,4,7.531447403,-0.309397271,89.3330907
496,3,3.974493344,-1.006981498,82.03938627
497,5,3.253166563,-1.225545784,92.51354963
498,4,4.609717023,-0.845166926,90.2665769
499,1,12.57533908,0.250087204,53.65783852
500,3,8.622311533,-0.161773856,73.92217264
501,4,6.203865238,-0.521027391,84.47021798
502,0,9.517456055,-0.053975773,52.1915492
503,2,54.9894168,1.860278176,60.15188547
504,4,11.64012228,0.165747453,83.99028861
505,4,20.86532697,0.802696858,89.52255273
506,6,5.285806902,-0.695805147,95.81196235
507,3,4.487664877,-0.874452366,79.14679814
508,1,8.561265845,-0.169528109,53.01269208
509,2,15.66728652,0.490007995,69.53359635
510,0,2.690292068,-1.432880727,51.64453589
511,1,9.513366978,-0.054444764,53.5508893
512,3,6.047630506,-0.548863513,72.01110482
513,4,13.42325793,0.321299524,84.52596898
514,3,5.408726829,-0.670716556,74.21267228
515,3,8.535424042,-0.172827302,77.91060108
516,4,10.85727544,0.089764424,87.99628713
517,4,5.957365748,-0.565275496,86.97154227
518,1,18.99230213,0.700049265,59.14018275
519,3,9.219868811,-0.088644664,76.37478499
520,3,5.064395991,-0.742504742,72.07650197
521,3,31.86687242,1.264862619,75.36961429
522,3,51.23324843,1.783062466,82.03323541
523,2,3.339393162,-1.196995618,69.67087592
524,0,18.67597919,0.681719293,50.58047766
525,2,40.32133203,1.521673764,70.40654478
526,2,4.205844855,-0.945234818,61.56247408
527,1,21.53074353,0.836957885,58.5795292
528,2,6.43772805,-0.480643738,65.54048031
529,3,44.94247565,1.640088902,80.39288262
530,5,2.928882351,-1.34014691,94.57645342
531,3,5.421263886,-0.668189794,73.61087016
532,4,10.73935567,0.077846473,82.81028316
533,2,5.790971998,-0.596191712,66.41408501
534,1,6.045169323,-0.549307748,54.31574483
535,3,22.79558902,0.899258207,75.77314709
536,2,5.135597698,-0.727267925,60.32312604
537,2,5.474937986,-0.657437779,68.82731726
538,0,5.478848546,-0.656658539,51.52681787
539,7,13.5012256,0.327620223,98.47277864
540,4,7.015078359,-0.386911268,85.15251215
541,1,19.83586505,0.747477355,54.11826867
542,3,4.575279561,-0.853350648,76.04475005
543,4,5.737873023,-0.606244815,87.85819982
544,4,31.84576635,1.264139552,89.82238184
545,1,16.43215757,0.542027909,56.13160152
546,5,11.45059769,0.147831721,95.40646261
547,1,3.132057177,-1.266950564,58.83854555
548,2,15.18025139,0.455543448,66.35377354
549,3,3.999983841,-1.000004409,80.7780168
550,5,6.869894764,-0.409734915,92.27940466
551,3,11.19588599,0.123281063,79.0699319
552,5,5.627566755,-0.627429611,92.38802801
553,4,6.689391618,-0.438793221,82.70515503
554,1,2.04254372,-1.73349908,56.26410058
555,3,4.827560428,-0.794773771,71.5280324
556,2,4.425841122,-0.889591829,60.4431557
557,1,11.84176185,0.184490931,59.66166923
558,4,11.72249528,0.173443396,84.5553187
559,2,15.9466742,0.509298178,61.31107503
560,4,8.14816207,-0.223501883,82.66867594
561,0,15.90844189,0.506678498,52.42383563
562,6,5.097759167,-0.735338693,97.44966131
563,0,5.861653424,-0.582951847,50.34434242
564,3,10.09580536,0.010406013,72.52960537
565,5,14.03159399,0.369671324,92.0352472
566,4,8.668041492,-0.156000948,83.28014052
567,5,7.32348084,-0.339956896,94.2585683
568,0,22.87358607,0.902986002,51.46095759
569,0,7.237440113,-0.352854736,50.91775125
570,1,3.786079159,-1.059984673,56.02760201
571,5,9.086149766,-0.104588903,92.10069417
572,2,5.628368293,-0.627274179,61.10542167
573,2,12.86471047,0.274915852,71.01687418
574,2,3.428803714,-1.168159436,62.52552635
575,4,2.708397814,-1.425560469,82.83836821
576,7,41.31070506,1.548129351,98.84551418
577,3,33.25998254,1.311559545,80.67331765
578,3,4.943432681,-0.768888197,77.0164807
579,3,33.95671749,1.334185279,75.03252226
580,3,18.52735036,0.672999217,73.30090353
581,2,26.4918972,1.063258411,62.53458916
582,2,28.44004285,1.140700197,60.42719815
583,4,11.46459161,0.149164667,90.5400513
584,2,11.06786788,0.110730173,66.10941568
585,2,7.053622454,-0.380931262,63.5192798
586,0,10.12750061,0.013826903,51.5824717
587,1,21.32958057,0.826713345,57.58851799
588,1,7.095008301,-0.374546637,57.36015916
589,7,27.32494803,1.097048135,98.76836732
590,2,19.01476217,0.701339126,71.0613457
591,1,8.011417303,-0.241972769,55.08761846
592,2,15.76320648,0.496669247,65.41941186
593,3,4.405025585,-0.894736787,76.8534287
594,3,13.34664327,0.315052647,81.01444996
595,3,3.924671065,-1.020748675,81.03008586
596,2,6.012342967,-0.55525016,69.0598911
597,3,17.52345509,0.612202178,75.19014549
598,2,28.41902526,1.139893371,61.96900966
599,2,57.22212312,1.903714004,62.17059863
600,2,1.373956448,-2.166223588,65.73075113
601,3,13.36666025,0.316688211,74.0232389
602,2,20.22849512,0.768868594,67.36930038
603,4,1.835807674,-1.849959298,90.67035854
604,4,15.74517446,0.495420095,86.54834635
605,9,4.767164003,-0.808513595,99.87631248
606,0,11.95000821,0.194421777,51.1581971
607,3,45.56290812,1.655052072,81.41945612
608,5,8.99911357,-0.115093397,91.21877699
609,1,19.26765187,0.715758116,57.41089354
610,1,8.659473365,-0.157080258,58.47956678
611,2,25.01163509,1.000507803,60.73879186
612,5,13.83486132,0.354261465,90.97290288
613,3,9.449492457,-0.061797047,78.9270164
614,6,6.470254326,-0.4751436,98.07362884
615,3,18.39489337,0.665168792,71.9242529
616,4,61.58005192,1.98381674,82.76263338
617,1,8.779756489,-0.14202525,58.99218892
618,3,5.411164428,-0.670224816,77.51887473
619,1,5.41003452,-0.670452726,58.20878216
620,4,1.529807485,-2.048960146,83.12191159
